anxiety_level,self_esteem,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
14,20,3,2,3,2,3,3,2,3,3,2,1
15,8,1,2,1,4,1,5,1,4,5,5,2
12,18,2,2,2,3,3,2,2,3,2,2,1
16,12,2,2,2,4,1,4,1,4,4,5,2
16,28,2,3,4,3,1,2,1,5,0,5,1
20,13,2,1,2,5,2,5,1,4,4,5,2
4,26,4,4,5,1,4,1,3,2,2,1,0
17,3,1,1,1,3,2,4,1,4,4,5,2
13,22,3,3,3,3,2,3,3,3,2,2,1
6,8,5,2,2,2,1,5,1,5,3,4,1
17,12,2,1,1,3,1,4,1,4,4,5,2
17,15,2,1,1,3,1,4,1,5,5,4,2
5,28,3,5,5,2,4,1,3,1,1,1,0
9,23,2,3,1,2,3,3,0,1,0,1,2
2,28,3,4,4,2,5,1,3,1,2,1,0
11,21,2,2,3,3,3,3,2,3,2,2,1
6,28,4,4,5,1,5,1,3,2,2,1,0
7,25,4,4,4,2,5,1,3,1,1,1,0
11,23,2,3,2,3,2,2,3,3,2,3,1
21,1,1,1,1,5,2,5,1,4,4,5,2
3,27,3,4,5,2,5,1,3,1,2,1,0
18,1,1,2,2,5,1,4,1,4,4,5,2
7,27,3,5,4,2,5,1,3,1,2,1,0
20,5,2,2,1,3,1,4,1,5,4,4,2
13,21,2,3,3,2,3,2,3,3,3,2,1
6,26,4,4,4,1,4,1,3,2,1,1,0
18,6,2,1,1,3,1,4,1,5,5,4,2
7,28,1,5,4,0,2,2,1,1,2,2,0
13,23,3,3,3,2,3,2,3,2,2,3,1
17,6,1,1,2,3,1,4,1,4,5,4,2
0,27,4,4,4,2,4,1,3,2,2,1,0
15,8,3,5,3,4,2,4,1,0,2,1,1
15,9,2,2,2,3,2,4,1,4,4,4,2
9,23,3,2,3,3,2,2,2,3,2,3,1
7,25,4,5,5,2,4,1,3,1,1,1,0
9,22,3,3,2,3,2,2,2,3,2,2,1
12,21,3,3,2,2,2,2,2,2,2,3,1
7,27,4,5,5,2,5,1,3,1,1,1,0
21,6,1,1,1,4,1,4,1,5,4,4,2
5,25,4,4,5,1,4,1,3,1,1,1,0
5,29,4,5,4,2,4,1,3,2,2,1,0
8,30,4,5,5,2,4,1,3,1,2,1,0
1,27,3,5,5,1,5,1,3,2,2,1,0
19,9,2,1,2,3,1,4,1,5,4,4,2
15,4,2,2,2,3,2,5,1,5,5,4,2
3,30,4,4,4,2,4,1,3,2,2,1,0
19,1,2,1,1,4,2,4,1,4,4,4,2
7,27,4,5,4,2,4,1,3,1,1,1,0
12,19,3,2,3,2,3,3,2,3,2,2,1
2,26,4,5,4,2,5,1,3,2,2,1,0
8,27,3,5,4,1,5,1,3,2,2,1,0
10,16,2,3,2,2,3,3,2,3,3,3,1
6,29,4,5,5,2,5,1,3,2,2,1,0
19,2,1,1,2,3,2,4,1,4,5,5,2
13,23,3,2,3,3,3,3,2,2,2,3,1
13,23,3,3,2,3,2,2,3,2,3,2,1
12,18,3,2,3,2,2,2,3,2,3,2,1
8,28,3,4,5,1,5,1,3,2,1,1,0
4,29,3,4,4,2,5,1,3,1,1,1,0
4,27,4,5,5,2,5,1,3,1,2,1,0
4,28,4,4,5,1,4,1,3,2,2,1,0
8,29,4,5,0,0,0,5,1,4,5,2,1
3,27,3,5,4,1,4,1,3,1,2,1,0
12,23,3,2,2,3,3,3,3,2,3,3,1
21,0,4,2,2,0,0,4,0,1,4,1,0
5,25,3,5,5,2,5,1,3,1,2,1,0
18,14,1,2,2,4,2,5,1,5,4,5,2
11,21,2,3,3,3,3,2,3,3,2,2,1
11,23,3,3,2,3,2,2,3,2,2,3,1
1,26,2,4,3,2,1,5,1,1,5,2,1
5,30,4,4,5,1,4,1,3,1,1,1,0
21,15,2,1,2,5,2,4,1,4,4,4,2
2,26,4,4,5,1,4,1,3,2,2,1,0
0,30,3,5,5,1,4,1,3,2,1,1,0
21,7,2,2,1,4,2,4,1,5,4,4,2
17,5,1,1,1,5,1,5,1,5,5,4,2
20,5,1,2,2,5,2,4,1,5,5,4,2
1,29,3,5,4,1,5,1,3,2,1,1,0
13,17,2,3,3,3,3,2,2,2,3,2,1
18,13,2,1,2,4,2,5,1,4,4,4,2
4,26,4,4,4,1,5,1,3,2,2,1,0
9,21,2,3,2,3,3,3,2,3,3,2,1
17,15,1,2,1,4,2,5,1,4,5,5,2
0,26,3,5,4,2,4,1,3,2,2,1,0
13,15,2,2,3,2,2,3,3,2,3,2,1
10,24,2,3,3,2,3,2,2,3,2,3,1
9,22,3,3,2,2,2,3,3,2,3,3,1
17,3,2,2,1,5,2,5,1,4,5,5,2
11,18,2,3,2,3,3,3,3,2,3,3,1
17,12,2,2,1,4,1,5,1,5,4,4,2
9,19,2,3,2,3,3,3,2,3,3,3,1
16,11,2,1,1,5,2,4,1,5,5,4,2
20,1,2,1,2,4,1,5,1,5,4,4,2
9,23,3,1,2,4,4,5,1,0,1,0,2
8,0,1,4,3,5,1,2,1,2,3,1,0
19,7,4,1,5,5,0,3,0,3,3,2,1
15,14,1,2,1,4,1,5,1,4,4,5,2
17,7,1,2,2,3,2,4,1,4,5,5,2
6,27,4,4,5,1,5,1,3,1,1,1,0
9,23,3,2,3,3,3,2,2,3,2,3,1
13,3,4,2,0,0,0,2,0,3,5,1,1
20,3,1,1,4,2,4,2,0,1,3,0,1
11,17,3,3,3,2,3,3,3,2,2,2,1
12,15,3,2,2,2,2,2,2,3,3,2,1
3,29,4,4,4,1,5,1,3,1,1,1,0
8,26,4,5,4,2,4,1,3,1,1,1,0
19,11,1,2,1,3,1,5,1,4,5,4,2
3,28,4,5,4,2,4,1,3,1,2,1,0
16,9,1,1,2,5,1,5,1,5,5,4,2
15,6,2,2,2,3,2,4,1,4,5,5,2
1,29,4,5,5,1,4,1,3,2,1,1,0
17,4,2,2,2,3,1,5,1,4,5,5,2
5,27,4,5,4,1,5,1,3,2,1,1,0
9,24,2,3,2,3,3,3,2,2,2,3,1
3,2,5,3,1,2,2,3,1,0,2,1,2
17,12,2,2,1,5,1,4,1,4,4,4,2
13,21,2,2,2,3,2,3,2,3,3,3,1
19,7,2,2,1,3,2,5,1,5,5,5,2
18,8,1,1,2,5,1,5,1,4,4,5,2
9,23,3,3,2,2,3,2,3,3,2,3,1
6,28,3,4,5,1,4,1,3,2,2,1,0
18,0,1,2,1,4,1,5,1,4,4,5,2
7,29,4,4,4,1,5,1,3,1,2,1,0
9,20,2,3,2,2,2,3,2,2,2,3,1
13,20,3,2,2,2,3,3,2,2,3,3,1
19,16,5,2,4,3,2,1,1,2,5,2,0
13,15,2,3,3,2,3,3,2,3,3,2,1
6,26,3,5,4,2,4,1,3,2,2,1,0
14,3,3,4,3,5,4,2,1,1,3,2,2
14,19,3,3,3,3,2,2,3,2,2,3,1
5,27,4,4,4,2,4,1,3,1,2,1,0
12,16,3,2,3,3,3,2,3,2,2,2,1
20,13,2,4,4,4,2,3,1,5,2,5,0
14,16,3,3,2,2,3,3,3,2,2,2,1
11,21,2,3,2,2,2,2,3,2,3,3,1
7,24,4,0,1,5,3,1,1,5,0,0,0
6,25,4,4,5,1,5,1,3,2,1,1,0
19,13,1,1,2,3,2,5,1,5,4,4,2
8,28,3,5,4,2,5,1,3,1,1,1,0
10,25,2,2,2,2,2,2,2,2,3,2,1
1,5,2,0,2,5,3,3,1,0,2,2,2
13,27,3,3,2,5,0,4,0,1,5,0,0
